State_Name,Season,Crop,Area,Production
Andaman and Nicobar Islands,Autumn     ,Rice,8390,23916
Andaman and Nicobar Islands,Autumn     ,Sugarcane,155,1333
Andaman and Nicobar Islands,Kharif     ,Arecanut,8708,14500
Andaman and Nicobar Islands,Kharif     ,Other Kharif pulses,1090,649
Andaman and Nicobar Islands,Kharif     ,Rice,69325,199091
Andaman and Nicobar Islands,Rabi       ,Arecanut,4152,5800
Andaman and Nicobar Islands,Rabi       ,Arhar/Tur,315,104
Andaman and Nicobar Islands,Rabi       ,Black pepper,600,120
Andaman and Nicobar Islands,Rabi       ,Cashewnut,1100,310
Andaman and Nicobar Islands,Rabi       ,Dry chillies,394,575
Andaman and Nicobar Islands,Rabi       ,Dry ginger,211,1850
Andaman and Nicobar Islands,Rabi       ,Groundnut,21,15
Andaman and Nicobar Islands,Rabi       ,Maize,164,368
Andaman and Nicobar Islands,Rabi       ,Moong(Green Gram),1200,576
Andaman and Nicobar Islands,Rabi       ,Sunflower,4,3
Andaman and Nicobar Islands,Rabi       ,Sweet potato,163,923
Andaman and Nicobar Islands,Rabi       ,Turmeric,80,482
Andaman and Nicobar Islands,Rabi       ,Urad,1095,475
Andaman and Nicobar Islands,Whole Year ,Arecanut,21270,610240
Andaman and Nicobar Islands,Whole Year ,Banana,12146,97425
Andaman and Nicobar Islands,Whole Year ,Black pepper,3086,605
Andaman and Nicobar Islands,Whole Year ,Cashewnut,5172,1375
Andaman and Nicobar Islands,Whole Year ,Coconut ,190723,717790000
Andaman and Nicobar Islands,Whole Year ,Dry chillies,2203,585947
Andaman and Nicobar Islands,Whole Year ,Dry ginger,2619,10826
Andaman and Nicobar Islands,Whole Year ,Sugarcane,1351,29306
Andaman and Nicobar Islands,Whole Year ,Sweet potato,405,2143
Andaman and Nicobar Islands,Whole Year ,Tapioca,1080,7937
Andaman and Nicobar Islands,Whole Year ,Turmeric,173,1111
Andaman and Nicobar Islands,Whole Year ,other oilseeds,508,249
Andhra Pradesh,Kharif     ,Arecanut,1057,620
Andhra Pradesh,Kharif     ,Arhar/Tur,3342772,1527520
Andhra Pradesh,Kharif     ,Bajra,960338,1192328
Andhra Pradesh,Kharif     ,Brinjal,24590,303726
Andhra Pradesh,Kharif     ,Cabbage,2114,617119
Andhra Pradesh,Kharif     ,Cashewnut,355747,110702
Andhra Pradesh,Kharif     ,Castor seed,855183,1527483
Andhra Pradesh,Kharif     ,Coriander,1790,1135
Andhra Pradesh,Kharif     ,Cotton(lint),7403051,17834431
Andhra Pradesh,Kharif     ,Cowpea(Lobia),14239,5078
Andhra Pradesh,Kharif     ,Dry chillies,1697578,6291055
Andhra Pradesh,Kharif     ,Dry ginger,1451,5074
Andhra Pradesh,Kharif     ,Gram,311,433
Andhra Pradesh,Kharif     ,Grapes,893,22314
Andhra Pradesh,Kharif     ,Groundnut,22556146,13907262
Andhra Pradesh,Kharif     ,Horse-gram,117519,642907
Andhra Pradesh,Kharif     ,Jowar,548974,1503225
Andhra Pradesh,Kharif     ,Korra,156042,110939
Andhra Pradesh,Kharif     ,Lemon,75307,540994
Andhra Pradesh,Kharif     ,Linseed,1256,605
Andhra Pradesh,Kharif     ,Maize,935756,3093938
Andhra Pradesh,Kharif     ,Mango,752971,5940349
Andhra Pradesh,Kharif     ,Masoor,184379,65424
Andhra Pradesh,Kharif     ,Mesta,814263,7237785
