Crop Name,Nitrogen (N),Phosphorus (P),Potassium (K),Temperature (°C),Humidity (%),pH,Soil Type,Required Water (mm per acre)
Cotton,66,22,87,37.85101009458066,62.63232225048398,8.2,Silty,810
Cotton,246,33,55,31.4333971948847,95.87883070141064,6.6,Peaty,1200
Rice,148,99,58,28.774617315024283,67.1322905143013,4.2,Chalky,635
Rice,244,98,149,37.54050004273692,49.977493966655366,6.2,Peaty,584
Rice,75,60,28,30.651685934242366,43.316113188571435,7.0,Silty,1040
Soybean,78,29,86,23.22236790029628,71.49931407187904,6.4,Peaty,1210
Soybean,140,63,56,30.728137233429596,41.83062743050204,4.3,Loamy,925
Sugarcane,172,65,88,20.648955330373653,20.80227289734971,4.6,Peaty,1290
Barley,135,39,24,31.49518438887608,96.622300431295,7.5,Sandy,347
Rice,152,79,111,22.14164876513979,29.534793391893484,8.9,Sandy,1124
Millets,98,67,35,12.092308210172845,42.311486127277675,7.6,Chalky,497
Millets,251,79,29,18.585304671339937,33.971058266899014,7.9,Loamy,1459
Groundnut,114,88,109,11.275663293910236,35.55215697704335,8.8,Peaty,689
Rice,82,47,92,12.510393360583343,51.25175156889452,8.2,Sandy,1273
Cotton,97,46,141,29.901754509344485,62.24018159497629,8.0,Silty,384
Sugarcane,284,45,34,25.239903576729798,43.573825111194466,6.7,Chalky,345
Pulses,107,79,144,25.6288642591567,45.14227669317529,5.2,Clay,532
Maize,71,97,123,35.82805458933441,38.11038047306341,5.4,Clay,1379
Pulses,281,98,117,18.71931366258746,51.062143184644285,6.9,Loamy,765
Maize,195,62,27,29.011530903706834,92.06181199113863,4.1,Sandy,455
Maize,179,22,23,22.105541645471156,52.23941822205849,5.9,Chalky,570
Barley,294,92,74,20.279871093509744,79.49884474374964,8.5,Chalky,530
Cotton,125,81,59,39.92105606549381,92.65471084100692,6.2,Clay,1070
Sugarcane,54,83,111,31.77975681679031,92.93565384318468,5.4,Chalky,1378
Pulses,93,80,136,21.250990109115307,39.606087666538386,8.2,Chalky,768
Maize,172,62,98,29.422031836860082,28.349480854284643,7.7,Peaty,552
Soybean,94,79,96,16.312394181536625,75.10142849395326,5.1,Silty,844
Cotton,131,58,50,18.961151966991224,53.240434043841596,5.6,Loamy,514
Sugarcane,71,30,99,12.6145189624348,60.84703829935048,4.8,Loamy,1088
Groundnut,66,85,66,20.226823499141958,60.30553245381434,5.2,Chalky,344
Pulses,183,67,53,38.15308466865366,96.70425564102169,4.6,Chalky,1126
Groundnut,279,50,136,11.699135012169554,93.35307653183689,4.4,Peaty,528
Maize,227,91,149,19.330654531540183,80.15493878664302,5.7,Chalky,445
Maize,112,55,42,16.79561561652057,25.911488434406316,8.5,Sandy,673
